,param,param_select,beta,tll1,tll2,igc
0,0.04173474396539835,0.04173474396539835,0.38771619349049213,0.04709785219579123,0.2509143089532425,0.1241760059644428
1,6.340525235393483e-05,6.340525235393483e-05,0.0730221793536554,0.027917668057504716,0.08013180757659698,0.059170525547764814
2,0.0031558015402401943,0.41211851323257725,0.11869501812273087,0.22931578899321114,0.03204531122149387,0.03003158608677192
3,0.022819279289568065,0.022819279289568065,0.6164953073634629,0.027402851385466026,0.21236989349684496,0.23230426423618447
4,0.0016053659318416094,0.0016053659318416094,0.06745672548810122,0.054197113450561066,0.10907347791629876,0.009320630611487763
5,0.0010852179723442501,0.31814549632472416,0.296672030454991,0.23247272838795782,0.023786056884405625,0.02716506285549864
6,0.004868445242751528,0.004868445242751528,0.3620701932398446,0.08953242088430158,0.04924488205652002,0.25983861251713064
7,0.007838496909024745,0.007838496909024745,0.31898778788584065,0.11656666180911067,0.11935290683946778,0.03094059505900578
8,0.007688162395923523,0.42845318337892924,0.13552826004922858,0.3500177074803003,0.009027918940158267,0.027314165501046074
9,0.0008742251549875273,0.0008742251549875273,0.06837646031385132,0.30114661274691007,0.06038423407932995,0.00903247559248379
10,0.000663430554063549,0.5057758293086436,0.10809970681813474,0.18159597461252155,0.017623171747619765,0.09753958922069307
11,0.003129289937907875,0.35246624477597244,0.2456675844159228,0.22361862686911343,0.09644887911309225,0.009867394067780477
12,0.001195758231587597,1.8495260315102167,0.2609468773571969,0.37423547244190464,0.03673649606419844,0.023805177732422064
13,0.001230704238001334,0.001230704238001334,0.31316580854817144,0.1766663794491624,0.07153167540272778,0.0903879722955968
14,9.95764198730721e-05,0.7496504878265976,0.2671653062848254,0.3609536598296129,0.03047904064985537,0.02864061101371971
15,0.0001848751192080952,0.0001848751192080952,0.15984587523881238,0.30427306991261127,0.08469868658848831,0.012039851196363964
16,0.0017285785088448067,0.0017285785088448067,0.21866848641227138,0.30038558781099645,0.009356204071785728,0.05934592337603039
17,0.0010286140845966122,0.0010286140845966122,0.09460796927668672,0.19096023610883323,0.0951226505572631,0.003069313078145934
18,2.3072514497418597e-06,2.3072514497418597e-06,0.16349749674496106,0.12805776390278717,0.14590820144786637,0.014731167241449288
19,0.0021414398758387147,0.11281948629489594,0.2549244171489215,0.3866553812986445,0.02429116714278365,0.18810064550063627
20,0.0004843683661492611,1.7376383045480308,0.240613037483987,0.2570808557814648,0.0386161966872964,0.07472239609748532
21,9.441747239923607e-06,9.441747239923607e-06,0.12344898427869333,0.10478293233869237,0.11493564099453088,0.015299077387549997
22,4.459672951922097e-05,4.459672951922097e-05,0.12661393592229175,0.056108682067841226,0.12106111471687109,0.020529944858232535
23,0.00048557648511083674,0.40275243225470125,0.14033422183084088,0.40053056370072676,0.024184133391937257,0.04050946887391363
24,5.8546107144599574e-05,0.1954840869451971,0.1709638798654859,0.1686745232898902,0.01616977999198472,0.08439012089026912
