,beta,tll1,tll2,igc
0,0.5816544654678703,0.13775585415625,0.16852377130625001,0.58272985470625
1,0.7561401960061243,1.3944416171,1.05523334345,0.17707314267500002
2,0.22297840831494747,0.12817025667499998,0.05850492890000001,0.7845702912249999
3,1.7179988414698752,1.6143220129124998,1.1052051777125,0.1203397742875
4,0.7341855384078624,0.10080258761875001,0.05685745179375001,0.10231816164375002
5,0.39963662506790143,1.20420437735625,0.8941827279062501,0.95720835748125
6,1.0704765693861251,0.18122345741249998,0.1101681588125,0.1330246034625
7,0.23588158899284548,0.0859581599875,0.10104664088750001,0.5546903704374999
8,0.6165249735243533,0.06179623168124999,0.06418545723124996,0.07083976245625
9,0.7862939201070935,1.2416155499000001,0.8810635728000001,0.35019993967500007
10,0.8294816693876232,0.45511032371874993,0.46442879074375,0.22817945439374998
11,0.7578649507579668,1.1330082217625,1.3812564017125,0.1547182164625
12,1.1631832223155076,0.36413498420625,0.37111489250625007,0.20049778263124998
13,0.51403590504511,0.11426304956875,0.06535114341874998,0.10146868519374999
14,3.061782120063841,1.5433524851375,0.9371062628125,0.22834708216249994
15,0.5122311316645036,0.6936039912875,0.7389906565375001,0.10637803398750001
16,0.7933194419364992,0.7868479336062499,1.4374848185562499,0.13636178100625002
17,0.7476590234821543,0.32789196068749993,0.22293917611249997,0.11454921878749999
18,1.7308265649647134,0.8451698403249999,0.466061670525,0.188064809125
19,0.8270503471135447,0.5335205000375,0.5721286802875,0.24764748946249998
20,1.2569421408823531,2.00591445365,1.1452002439499998,0.228973667725
21,0.6241556214135856,0.23861383712499995,0.36604643685,0.0773554632
22,0.7150386555561193,1.16065473655,0.9947617850249999,0.396965475575
23,0.08807306547515324,0.0243421852875,0.018055692387499996,0.1978170715875
24,0.9672729514064282,0.32400444708125,0.35449610070625004,0.22576814373125004
